State,County,Latitude,Longitude,Region,Year,Population,Med_Sales,Rec_Sales,med_sales_per_citizen,rec_sales_per_citizen,Medical Sales Tax (2.9%),Retail Sales Tax (2.9%),Retail Marijuana Special Sales Tax
COLORADO,Rio Grande ,37.485763,-106.453214,SW,2014,11482,0,0,0,0,0,0,0
COLORADO,Routt ,40.48316,-106.985289,NW,2014,24016,1516593,493745,63.14927548,20.55900233,45293,NR,NR
COLORADO,Saguache ,38.033952,-106.246675,SW,2014,6199,NR,NR,NR,NR,NR,NR,NR
COLORADO,San Juan ,37.75737,-107.71625,SW,2014,712,0,0,0,0,0,0,0
COLORADO,San Miguel ,38.009374,-108.427326,SW,2014,7704,764515,4169063,99.23611111,541.1556334,21932,116197,329003
COLORADO,Sedgwick ,40.871568,-102.355358,NE,2014,2327,NR,NR,NR,NR,NR,NR,NR
COLORADO,Summit ,39.621023,-106.137555,NW,2014,29197,2511886,10999006,86.03233209,376.7169915,67317,289928,834127
COLORADO,Teller ,38.871994,-105.182552,SE,2014,23406,NR,0,NR,0,NR,0,0
COLORADO,Washington ,39.965413,-103.209605,NE,2014,4724,0,0,0,0,0,0,0
COLORADO,Weld ,40.555794,-104.383649,NE,2014,275655,5455796,8861738,19.79211696,32.14793129,144272,221263,662209
COLORADO,Yuma ,40.000631,-102.422649,NE,2014,10195,0,0,0,0,0,0,0
COLORADO,Not Reported,,,,2014,,8256689,34596051,,,211599,973726,2720699
COLORADO,Adams ,39.874325,-104.331872,NE,2015,489774,5364214,19462442,10.95242704,39.73759734,148254,461943,1524393
COLORADO,Alamosa ,37.568442,-105.788041,SW,2015,15854,NR,0,NR,0,NR,0,0
COLORADO,Arapahoe ,39.644632,-104.331733,NE,2015,628951,19190919,49342266,30.51258206,78.45168543,629605,1276430,3729548
COLORADO,Archuleta ,37.202395,-107.050863,SW,2015,12401,NR,NR,NR,NR,NR,NR,NR
COLORADO,Baca ,37.303144,-102.535457,SE,2015,3544,0,0,0,0,0,0,0
COLORADO,Bent ,37.931891,-103.077584,SE,2015,5885,0,0,0,0,0,0,0
COLORADO,Boulder ,40.094826,-105.398382,NE,2015,318071,31025531,51439943,97.54278447,161.7247187,857746,1441729,4198366
COLORADO,Broomfield,39.953383,-105.052125,NE,2015,64713,0,0,0,0,2117,12583,35220
COLORADO,Chaffee ,38.738246,-106.316972,SW,2015,18578,NR,1817143,NR,97.8115513,NR,74682,216888
